article,date,max_ratio,max_ratio_hi,max_ratio_lo,language
air marshal,2011-01-02,0.1406,0.144375,0.13687500000000002,en
air marshal,2011-01-09,0.1292,0.132825,0.12562500000000004,en
air marshal,2011-01-16,0.1216,0.12512500000000001,0.11812500000000004,en
air marshal,2011-01-23,0.1444,0.148225,0.14062500000000006,en
air marshal,2011-01-30,0.11399999999999999,0.117425,0.11062500000000003,en
air marshal,2011-02-06,0.11019999999999999,0.113575,0.10687500000000003,en
air marshal,2011-02-13,0.10640000000000001,0.10972499999999999,0.10312500000000004,en
air marshal,2011-02-20,0.10640000000000001,0.10972499999999999,0.10312500000000004,en
air marshal,2011-02-27,0.1216,0.12512500000000001,0.11812500000000004,en
air marshal,2011-03-06,0.19,0.19442500000000001,0.18562500000000004,en
air marshal,2011-03-13,0.1368,0.140525,0.13312500000000002,en
air marshal,2011-03-20,0.11399999999999999,0.117425,0.11062500000000003,en
air marshal,2011-03-27,0.1444,0.148225,0.14062500000000006,en
air marshal,2011-04-03,0.15200000000000002,0.155925,0.14812500000000006,en
air marshal,2011-04-10,0.1178,0.12127500000000001,0.11437500000000003,en
air marshal,2011-04-17,0.0874,0.090475,0.08437500000000003,en
air marshal,2011-04-24,0.07600000000000001,0.078925,0.07312500000000002,en
air marshal,2011-05-01,0.1748,0.17902500000000002,0.17062500000000005,en
air marshal,2011-05-08,0.1824,0.186725,0.17812500000000003,en
air marshal,2011-05-15,0.17859999999999998,0.18287499999999998,0.17437500000000006,en
air marshal,2011-05-22,0.1824,0.186725,0.17812500000000003,en
air marshal,2011-05-29,0.1596,0.163625,0.15562500000000004,en
air marshal,2011-06-05,0.1444,0.148225,0.14062500000000006,en
air marshal,2011-06-12,0.11399999999999999,0.117425,0.11062500000000003,en
air marshal,2011-06-19,0.1292,0.132825,0.12562500000000004,en
air marshal,2011-06-26,0.1444,0.148225,0.14062500000000006,en
air marshal,2011-07-03,0.1444,0.148225,0.14062500000000006,en
air marshal,2011-07-10,0.1406,0.144375,0.13687500000000002,en
air marshal,2011-07-17,0.1216,0.12512500000000001,0.11812500000000004,en
air marshal,2011-07-24,0.1406,0.144375,0.13687500000000002,en
air marshal,2011-07-31,0.1406,0.144375,0.13687500000000002,en
air marshal,2011-08-07,0.1292,0.132825,0.12562500000000004,en
air marshal,2011-08-14,0.1482,0.15207500000000002,0.14437500000000006,en
air marshal,2011-08-21,0.1444,0.148225,0.14062500000000006,en
air marshal,2011-08-28,0.13299999999999998,0.136675,0.12937500000000002,en
