article,date,max_ratio,max_ratio_hi,max_ratio_lo,lanuage
Abu Sayyaf,2011-01-02,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-01-09,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-01-16,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-01-23,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-01-30,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-02-06,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-02-13,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-02-20,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-02-27,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-03-06,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-03-13,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-03-20,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-03-27,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-04-03,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-04-10,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-04-17,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-04-24,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-05-01,0.06,0.065,0.055,en.csv
Abu Sayyaf,2011-05-08,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-05-15,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-05-22,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-05-29,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-06-05,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-06-12,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-06-19,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-06-26,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-07-03,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-07-10,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-07-17,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-07-24,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-07-31,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-08-07,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-08-14,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-08-21,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-08-28,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-09-04,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-09-11,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-09-18,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-09-25,0.05,0.055,0.045,en.csv
Abu Sayyaf,2011-10-02,0.05,0.055,0.045,en.csv
Abu Sayyaf,2011-10-09,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-10-16,0.05,0.055,0.045,en.csv
Abu Sayyaf,2011-10-23,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-10-30,0.02,0.025,0.015,en.csv
Abu Sayyaf,2011-11-06,0.01,0.015,0.005,en.csv
Abu Sayyaf,2011-11-13,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-11-20,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-11-27,0.05,0.055,0.045,en.csv
Abu Sayyaf,2011-12-04,0.04,0.045,0.035,en.csv
Abu Sayyaf,2011-12-11,0.05,0.055,0.045,en.csv
Abu Sayyaf,2011-12-18,0.03,0.035,0.025,en.csv
Abu Sayyaf,2011-12-25,0.02,0.025,0.015,en.csv
Abu Sayyaf,2012-01-01,0.04,0.045,0.035,en.csv
Abu Sayyaf,2012-01-08,0.03,0.035,0.025,en.csv
