article,date,max_ratio,max_ratio_hi,max_ratio_lo,lanuage
Agencia Central de Inteligencia,2011-01-02,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-01-09,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-01-16,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-01-23,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-01-30,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-02-06,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-02-13,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-02-20,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-02-27,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-03-06,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-03-13,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-03-20,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-03-27,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-04-03,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-04-10,0.2352,0.24007499999999998,0.23037499999999997,es.csv
Agencia Central de Inteligencia,2011-04-17,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-04-24,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-05-01,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-05-08,0.2304,0.235225,0.22562499999999996,es.csv
Agencia Central de Inteligencia,2011-05-15,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-05-22,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-05-29,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-06-05,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-06-12,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-06-19,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-06-26,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-07-03,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-07-10,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-07-17,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-07-24,0.0,0.002425,0.0,es.csv
Agencia Central de Inteligencia,2011-07-31,0.0,0.002425,0.0,es.csv
